time(min),distance(m),μ(Pa)
10.00000,0.00000,52.61400
10.00000,0.00036,52.47900
10.00000,0.00070,52.18000
10.00000,0.00100,51.70800
10.00000,0.00133,50.95200
10.00000,0.00162,49.94800
10.00000,0.00189,48.67300
10.00000,0.00214,47.09700
10.00000,0.00237,45.20100
10.00000,0.00258,42.96900
10.00000,0.00277,40.39800
10.00000,0.00295,37.48900
10.00000,0.00311,34.25300
10.00000,0.00326,30.71000
10.00000,0.00340,26.89600
10.00000,0.00352,22.81000
10.00000,0.00364,18.49900
10.00000,0.00374,14.03900
10.00000,0.00384,9.48200
10.00000,0.00393,4.79500
10.00000,0.00401,0.00000
20.00000,0.00000,109.78800
20.00000,0.00037,109.32600
20.00000,0.00070,108.32300
20.00000,0.00101,106.77800
20.00000,0.00133,104.39300
20.00000,0.00163,101.35200
20.00000,0.00190,97.65600
20.00000,0.00215,93.29600
20.00000,0.00238,88.29200
20.00000,0.00259,82.67600
20.00000,0.00278,76.50100
20.00000,0.00296,69.82900
20.00000,0.00312,62.73000
20.00000,0.00327,55.28500
20.00000,0.00341,47.59000
20.00000,0.00353,39.67900
20.00000,0.00365,31.64900
20.00000,0.00375,23.62400
20.00000,0.00385,15.68000
20.00000,0.00394,7.79100
20.00000,0.00402,0.00000
30.00000,0.00000,168.47500
30.00000,0.00037,167.53100
30.00000,0.00070,165.50600
30.00000,0.00101,162.44200
30.00000,0.00134,157.82500
30.00000,0.00163,152.09800
30.00000,0.00191,145.33900
30.00000,0.00216,137.60800
30.00000,0.00238,129.00100
30.00000,0.00260,119.62800
30.00000,0.00279,109.61400
30.00000,0.00297,99.08600
30.00000,0.00313,88.16900
30.00000,0.00328,76.99100
30.00000,0.00341,65.68500
30.00000,0.00354,54.30700
30.00000,0.00365,42.97700
30.00000,0.00376,31.83700
30.00000,0.00386,20.97100
30.00000,0.00395,10.34400
30.00000,0.00403,0.00000
40.00000,0.00000,227.17800
40.00000,0.00037,225.65700
40.00000,0.00071,222.42200
40.00000,0.00102,217.58500
40.00000,0.00134,210.41200
40.00000,0.00164,201.67800
40.00000,0.00191,191.57200
40.00000,0.00216,180.24200
40.00000,0.00239,167.88300
40.00000,0.00260,154.68200
40.00000,0.00279,140.83500
40.00000,0.00297,126.52400
40.00000,0.00313,111.91800
40.00000,0.00328,97.17900
40.00000,0.00342,82.46600
40.00000,0.00354,67.84300
40.00000,0.00366,53.44300
40.00000,0.00376,39.41800
40.00000,0.00386,25.85100
40.00000,0.00395,12.69900
40.00000,0.00403,0.00000
50.00000,0.00000,285.29200
50.00000,0.00037,283.14700
50.00000,0.00071,278.60800
50.00000,0.00102,271.87800
50.00000,0.00134,262.00300
50.00000,0.00164,250.13300
50.00000,0.00191,236.57800
50.00000,0.00216,221.59100
50.00000,0.00239,205.46200
50.00000,0.00260,188.45900
50.00000,0.00280,170.84100
50.00000,0.00297,152.83800
50.00000,0.00314,134.65600
50.00000,0.00329,116.48300
50.00000,0.00342,98.49500
50.00000,0.00355,80.76400
50.00000,0.00366,63.42900
50.00000,0.00377,46.65100
50.00000,0.00386,30.50700
50.00000,0.00395,14.94600
50.00000,0.00403,0.00000
60.00000,0.00000,342.68400
60.00000,0.00037,339.89400
60.00000,0.00071,334.01300
60.00000,0.00102,325.34100
60.00000,0.00134,312.71500
60.00000,0.00164,297.66900
60.00000,0.00192,280.64700
60.00000,0.00217,262.00900
60.00000,0.00240,242.13800
60.00000,0.00261,221.38100
60.00000,0.00280,200.05600
60.00000,0.00298,178.43800
60.00000,0.00314,156.76300
60.00000,0.00329,135.24200
60.00000,0.00342,114.06900
60.00000,0.00355,93.31600
60.00000,0.00366,73.13100
60.00000,0.00376,53.67700
60.00000,0.00386,35.03000
60.00000,0.00395,17.13000
60.00000,0.00403,0.00000
120.00000,0.00000,680.39800
120.00000,0.00037,673.69700
120.00000,0.00071,659.69600
120.00000,0.00101,639.32600
120.00000,0.00134,610.18400
120.00000,0.00163,576.19400
120.00000,0.00190,538.58800
120.00000,0.00215,498.37000
120.00000,0.00238,456.48900
120.00000,0.00258,413.72000
120.00000,0.00277,370.71500
120.00000,0.00294,327.98700
120.00000,0.00310,285.93900
120.00000,0.00325,244.90100
120.00000,0.00338,205.15000
120.00000,0.00350,166.76800
120.00000,0.00361,129.93600
120.00000,0.00371,94.84300
120.00000,0.00380,61.55200
120.00000,0.00389,29.94300
120.00000,0.00397,0.00000
180.00000,0.00000,1033.77000
180.00000,0.00036,1023.02000
180.00000,0.00069,1000.61000
180.00000,0.00099,968.12800
180.00000,0.00130,921.86900
180.00000,0.00159,868.23900
180.00000,0.00185,809.27700
180.00000,0.00209,746.64800
180.00000,0.00231,681.88100
180.00000,0.00251,616.18800
180.00000,0.00269,550.56900
180.00000,0.00286,485.77600
180.00000,0.00301,422.39400
180.00000,0.00315,360.87100
180.00000,0.00327,301.58300
180.00000,0.00339,244.62100
180.00000,0.00350,190.20700
180.00000,0.00359,138.56300
180.00000,0.00368,89.74700
180.00000,0.00376,43.57700
180.00000,0.00384,0.00000
240.00000,0.00000,1428.81000
240.00000,0.00034,1413.60000
240.00000,0.00066,1381.94000
240.00000,0.00094,1336.09000
240.00000,0.00124,1270.93000
240.00000,0.00152,1195.58000
240.00000,0.00177,1112.96000
240.00000,0.00199,1025.46000
240.00000,0.00220,935.24400
240.00000,0.00239,844.01000
240.00000,0.00257,753.14000
240.00000,0.00272,663.66700
240.00000,0.00287,576.37300
240.00000,0.00300,491.85500
240.00000,0.00312,410.58900
240.00000,0.00323,332.69800
240.00000,0.00333,258.44200
240.00000,0.00342,188.09400
240.00000,0.00351,121.71000
240.00000,0.00358,59.04300
240.00000,0.00365,0.00000
300.00000,0.00000,1889.30000
300.00000,0.00032,1868.97000
300.00000,0.00062,1826.63000
300.00000,0.00089,1765.37000
300.00000,0.00117,1678.38000
300.00000,0.00143,1577.94000
300.00000,0.00166,1467.92000
300.00000,0.00187,1351.59000
300.00000,0.00207,1231.82000
300.00000,0.00225,1110.89000
300.00000,0.00241,990.61500
300.00000,0.00256,872.35600
300.00000,0.00269,757.13500
300.00000,0.00282,645.71700
300.00000,0.00293,538.71900
300.00000,0.00303,436.28300
300.00000,0.00313,338.73600
300.00000,0.00321,246.41100
300.00000,0.00329,159.36200
300.00000,0.00336,77.27300
300.00000,0.00343,0.00000