K(m^2),time(min),mobility
1.33E-14,0,1.33E-11
1.33E-14,10,1.33E-11
1.32E-14,20,1.32E-11
1.32E-14,30,1.32E-11
1.31E-14,40,1.31E-11
1.29E-14,50,1.29E-11
1.27E-14,60,1.27E-11
1.25E-14,70,1.25E-11
1.22E-14,80,1.22E-11
1.19E-14,90,1.19E-11
1.16E-14,100,1.16E-11
1.13E-14,110,1.13E-11
1.09E-14,120,1.09E-11
1.05E-14,130,1.05E-11
1.01E-14,140,1.01E-11
9.73E-15,150,9.73E-12
9.32E-15,160,9.32E-12
8.90E-15,170,8.90E-12
8.48E-15,180,8.48E-12
8.05E-15,190,8.05E-12
7.63E-15,200,7.63E-12
7.22E-15,210,7.22E-12
6.81E-15,220,6.81E-12
6.41E-15,230,6.41E-12
6.01E-15,240,6.01E-12
5.63E-15,250,5.63E-12
5.26E-15,260,5.26E-12
4.90E-15,270,4.90E-12
4.56E-15,280,4.56E-12
4.23E-15,290,4.23E-12
3.92E-15,300,3.92E-12